Date,AUD-ISK_Price,AUD-ISK_Open,AUD-ISK_High,AUD-ISK_Low,CAD-ISK_Price,CAD-ISK_Open,CAD-ISK_High,CAD-ISK_Low,CHF-ISK_Price,CHF-ISK_Open,CHF-ISK_High,CHF-ISK_Low,CNY-ISK_Price,CNY-ISK_Open,CNY-ISK_High,CNY-ISK_Low,DKK-ISK_Price,DKK-ISK_Open,DKK-ISK_High,DKK-ISK_Low,EUR-ISK_Price,EUR-ISK_Open,EUR-ISK_High,EUR-ISK_Low,GBP-ISK_Price,GBP-ISK_Open,GBP-ISK_High,GBP-ISK_Low,INR-ISK_Price,INR-ISK_Open,INR-ISK_High,INR-ISK_Low,JPY-ISK_Price,JPY-ISK_Open,JPY-ISK_High,JPY-ISK_Low,NOK-ISK_Price,NOK-ISK_Open,NOK-ISK_High,NOK-ISK_Low,NZD-ISK_Price,NZD-ISK_Open,NZD-ISK_High,NZD-ISK_Low,PLN-ISK_Price,PLN-ISK_Open,PLN-ISK_High,PLN-ISK_Low,RUB-ISK_Price,RUB-ISK_Open,RUB-ISK_High,RUB-ISK_Low,SEK-ISK_Price,SEK-ISK_Open,SEK-ISK_High,SEK-ISK_Low,USD-ISK_Price,USD-ISK_Open,USD-ISK_High,USD-ISK_Low,DAX_Price,DAX_Open,DAX_High,DAX_Low,DAX_Volume,DJI_Price,DJI_Open,DJI_High,DJI_Low,DJI_Volume,FCHI_Price,FCHI_Open,FCHI_High,FCHI_Low,FCHI_Volume,FTSE_Price,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Volume,IBEX_Price,IBEX_Open,IBEX_High,IBEX_Low,IBEX_Volume,IXIC_Price,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Volume,N225_Price,N225_Open,N225_High,N225_Low,N225_Volume,NOMXIBB_Price,NOMXIBB_Open,NOMXIBB_High,NOMXIBB_Low,NOMXIBB_Volume,NOMXINOM_Price,NOMXINOM_Open,NOMXINOM_High,NOMXINOM_Low,NOMXINOM_Volume,NOMXIREAL_Price,NOMXIREAL_Open,NOMXIREAL_High,NOMXIREAL_Low,NOMXIREAL_Volume,OMXC20_Price,OMXC20_Open,OMXC20_High,OMXC20_Low,OMXC20_Volume,OMXI8_Price,OMXI8_Open,OMXI8_High,OMXI8_Low,OMXI8_Volume,OMXIGI_Price,OMXIGI_Open,OMXIGI_High,OMXIGI_Low,OMXIGI_Volume,OMXIMCPI_Price,OMXIMCPI_Open,OMXIMCPI_High,OMXIMCPI_Low,OMXIMCPI_Volume,OMXIPI_Price,OMXIPI_Open,OMXIPI_High,OMXIPI_Low,OMXIPI_Volume,OMXISCPI_Price,OMXISCPI_Open,OMXISCPI_High,OMXISCPI_Low,OMXISCPI_Volume,OMXS30_Price,OMXS30_Open,OMXS30_High,OMXS30_Low,OMXS30_Volume,PSI20_Price,PSI20_Open,PSI20_High,PSI20_Low,PSI20_Volume,SSMI_Price,SSMI_Open,SSMI_High,SSMI_Low,SSMI_Volume,STOXX50E_Price,STOXX50E_Open,STOXX50E_High,STOXX50E_Low,STOXX50E_Volume,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_Volume,EIK_Price,EIK_Volume,EIM_Price,EIM_Volume,GRND_Price,GRND_Volume,HAGA_Price,HAGA_Volume,ICEAIR_Price,ICEAIR_Volume,MARL_Price,MARL_Volume,N1_Price,N1_Volume,NYHR_Price,NYHR_Volume,OSSRu_Price,OSSRu_Volume,REGINN_Price,REGINN_Volume,REITIR_Price,REITIR_Volume,SIMINN_Price,SIMINN_Volume,SJOVA_Price,SJOVA_Volume,SKEL_Price,SKEL_Volume,TM_Price,TM_Volume,VIS_Price,VIS_Volume,VOICE_Price,VOICE_Volume
1993-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,0.0,,,,,2.67,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,2.62,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,,,,,2.65,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.0,,,,,2.54,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,0.0,,,,,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,0.0,,,,,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,0.0,,,,,2.67,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.67,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.65,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,2.55,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.591,0.0,,,,,2.54,0.0,,,,,,,,,,,,,,,,,,,,,,
1993-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.0,,,,,2.54,0.0,,,,,,,,,,,,,,,,,,,,,,
